time	V(vc)
1.219226695882074e-03	5.791994e+00
1.228826695882074e-03	5.807839e+00
1.236104000020007e-03	5.819849e+00
1.245704000020007e-03	5.835692e+00
1.245704000020132e-03	5.835692e+00
1.245704000030007e-03	5.835692e+00
1.246082682438328e-03	5.836317e+00
1.246461364846650e-03	5.836942e+00
1.246840047254971e-03	5.837567e+00
1.247218729663292e-03	5.838192e+00
1.247597412071614e-03	5.838817e+00
1.247976094479935e-03	5.839441e+00
1.248354776888257e-03	5.840066e+00
1.251005553766256e-03	5.844441e+00
1.256307107522254e-03	5.853189e+00
1.256457107522254e-03	5.853436e+00
1.257357107522254e-03	5.854921e+00
1.258557107522254e-03	5.856902e+00
1.260957107522254e-03	5.860862e+00
1.261482107522254e-03	5.861728e+00
1.262082107522254e-03	5.862718e+00
1.263282107522254e-03	5.864698e+00
1.263309853896968e-03	5.864744e+00
1.263365346646398e-03	5.864835e+00
1.263476332145256e-03	5.865018e+00
1.263698303142972e-03	5.865385e+00
1.263860129022528e-03	5.865652e+00
1.263991153292681e-03	5.865868e+00
1.264083706220821e-03	5.866020e+00
1.264120140886018e-03	5.866080e+00
1.264156411197803e-03	5.866140e+00
1.264167722093528e-03	5.866159e+00
1.264183778116792e-03	5.866186e+00
1.264215890163321e-03	5.866239e+00
1.264280114256380e-03	5.866344e+00
1.264409204683433e-03	5.866558e+00
1.264438897632550e-03	5.866606e+00
1.264443806338981e-03	5.866614e+00
1.264446229072227e-03	5.866619e+00
1.264447756028119e-03	5.866621e+00
1.264448722424011e-03	5.866622e+00
1.264449481636503e-03	5.866624e+00
1.264450279276326e-03	5.866625e+00
1.264450900698039e-03	5.866627e+00
1.264451576418282e-03	5.866628e+00
1.264452927858767e-03	5.866631e+00
1.264454847078179e-03	5.866634e+00
1.264457866615370e-03	5.866640e+00
1.264460871104958e-03	5.866646e+00
1.264464300439083e-03	5.866653e+00
1.264466088148036e-03	5.866656e+00
1.264467007484112e-03	5.866658e+00
