Freq.	V(n001)
2.51000000000000e+03	6.74900418551791e-06,-1.34460193936662e-05
2.52000000000000e+03	6.70054374373802e-06,-1.34474353927281e-05
2.53000000000000e+03	6.66775130412459e-06,-1.34453567327087e-05
2.54000000000000e+03	6.62955573245296e-06,-1.34478974827674e-05
2.55000000000000e+03	6.58869644793869e-06,-1.34425453777342e-05
2.56000000000000e+03	6.55300726971741e-06,-1.34489454905304e-05
2.57000000000000e+03	6.51276838815274e-06,-1.34518000639453e-05
2.58000000000000e+03	6.48776204063381e-06,-1.34590711165823e-05
2.59000000000000e+03	6.45187858533605e-06,-1.34635680713965e-05
2.60000000000000e+03	6.41568570117064e-06,-1.34733643148494e-05
2.61000000000000e+03	6.38557479066225e-06,-1.34746114182656e-05
2.62000000000000e+03	6.35414295869143e-06,-1.34801337705972e-05
2.63000000000000e+03	6.32085430299822e-06,-1.34905444135997e-05
2.64000000000000e+03	6.29198694939935e-06,-1.34955278664601e-05
2.65000000000000e+03	6.26490791893417e-06,-1.35023472290551e-05
2.66000000000000e+03	6.23208328418279e-06,-1.35098588831008e-05
2.67000000000000e+03	6.20549834521513e-06,-1.35175401622781e-05
2.68000000000000e+03	6.18333610009011e-06,-1.35243158570956e-05
2.69000000000000e+03	6.15409270816578e-06,-1.35341955489927e-05
2.70000000000000e+03	6.12992196227419e-06,-1.35432477002242e-05
2.71000000000000e+03	6.10746503415212e-06,-1.35536566781501e-05
2.72000000000000e+03	6.08524258942689e-06,-1.35641890154868e-05
2.73000000000000e+03	6.06156975233777e-06,-1.35769771334116e-05
2.74000000000000e+03	6.04941175756176e-06,-1.35872838504296e-05
2.75000000000000e+03	6.03027973479133e-06,-1.36018557490418e-05
2.76000000000000e+03	6.01487108547695e-06,-1.36151814910102e-05
2.77000000000000e+03	5.99766252563829e-06,-1.36349309980998e-05
2.78000000000000e+03	5.98339381759847e-06,-1.36541057176794e-05
2.79000000000000e+03	5.96649834293792e-06,-1.36753887605130e-05
2.80000000000000e+03	5.95473889888281e-06,-1.36985685190596e-05
2.81000000000000e+03	5.94553493460085e-06,-1.37228174290409e-05
2.82000000000000e+03	5.92376518376125e-06,-1.37538517075900e-05
2.83000000000000e+03	5.91157293668848e-06,-1.37837690162390e-05
2.84000000000000e+03	5.89780365610633e-06,-1.38160208028533e-05
2.85000000000000e+03	5.88217244743578e-06,-1.38516944799917e-05
2.86000000000000e+03	5.86491768826149e-06,-1.38886737597528e-05
2.87000000000000e+03	5.85141040167104e-06,-1.39327354816745e-05
2.88000000000000e+03	5.82947123027137e-06,-1.39735916003367e-05
2.89000000000000e+03	5.80698334167806e-06,-1.40253988836620e-05
2.90000000000000e+03	5.78369780873874e-06,-1.40517430377647e-05
2.91000000000000e+03	5.75692120099805e-06,-1.41001692553414e-05
2.92000000000000e+03	5.71684800652668e-06,-1.41694969549187e-05
2.93000000000000e+03	5.69664024774202e-06,-1.41886346870101e-05
2.94000000000000e+03	5.66974938086085e-06,-1.42269787571691e-05
2.95000000000000e+03	5.57014959877444e-06,-1.42445261030553e-05
2.96000000000000e+03	5.54322201606826e-06,-1.42232000163897e-05
2.97000000000000e+03	5.41066402166478e-06,-1.37228059054520e-05
2.98000000000000e+03	5.54663271472751e-06,-1.48898619736784e-05
2.99000000000000e+03	5.45950336501817e-06,-1.47213453105631e-05
3.00000000000000e+03	-3.65939718195567e-03,1.48781733441455e-02
3.01000000000000e+03	5.33985276137352e-06,-1.47409039586558e-05
3.02000000000000e+03	5.30221532412959e-06,-1.47593749113152e-05
3.03000000000000e+03	5.08401048441834e-06,-1.48937006501152e-05
3.04000000000000e+03	5.07821249942369e-06,-1.48898384595528e-05
3.05000000000000e+03	4.95059150488865e-06,-1.49401656393904e-05
3.06000000000000e+03	5.01139822417081e-06,-1.49408245280018e-05
3.07000000000000e+03	4.91048272636991e-06,-1.49822132017725e-05
3.08000000000000e+03	4.77898553804690e-06,-1.50446921411999e-05
3.09000000000000e+03	4.74423085265232e-06,-1.50469280206925e-05
3.10000000000000e+03	4.66195453852942e-06,-1.50740354112578e-05
3.11000000000000e+03	4.57648899742511e-06,-1.50986855280506e-05
3.12000000000000e+03	4.49420709039893e-06,-1.51177039845772e-05
3.13000000000000e+03	4.41417069343961e-06,-1.51237464959762e-05
3.14000000000000e+03	4.32168309126170e-06,-1.51616566950699e-05
3.15000000000000e+03	4.23924162695445e-06,-1.51681811551169e-05
3.16000000000000e+03	4.15615404904009e-06,-1.51701528729320e-05
3.17000000000000e+03	4.07362121884255e-06,-1.51794156002516e-05
3.18000000000000e+03	3.99307163386404e-06,-1.51811098454859e-05
3.19000000000000e+03	3.90528177173596e-06,-1.51800946074221e-05
3.20000000000000e+03	3.82929994649866e-06,-1.51768463880223e-05
3.21000000000000e+03	3.75199303026618e-06,-1.51734613651632e-05
3.22000000000000e+03	3.67535870012398e-06,-1.51599091677231e-05
3.23000000000000e+03	3.60082648265211e-06,-1.51507509660071e-05
3.24000000000000e+03	3.52761741353843e-06,-1.51422676580429e-05
3.25000000000000e+03	3.45670046619025e-06,-1.51255604005166e-05
3.26000000000000e+03	3.38691003356951e-06,-1.51106933537358e-05
3.27000000000000e+03	3.32141554587048e-06,-1.50943096012450e-05
3.28000000000000e+03	3.25435236809010e-06,-1.50772114835882e-05
3.29000000000000e+03	3.18933625165876e-06,-1.50593632932786e-05
3.30000000000000e+03	3.12776825988785e-06,-1.50396270561615e-05
3.31000000000000e+03	3.06629430690067e-06,-1.50199823934784e-05
3.32000000000000e+03	3.01025245841719e-06,-1.49975920246279e-05
3.33000000000000e+03	2.94799330085353e-06,-1.49786391560666e-05
3.34000000000000e+03	2.89109345379359e-06,-1.49578786684056e-05
3.35000000000000e+03	2.83329233878954e-06,-1.49296028079411e-05
3.36000000000000e+03	2.77937810774409e-06,-1.49091251219142e-05
3.37000000000000e+03	2.72673714389294e-06,-1.48851821811920e-05
3.38000000000000e+03	2.67188459083121e-06,-1.48610833538143e-05
3.39000000000000e+03	2.62070209579898e-06,-1.48352538245679e-05
3.40000000000000e+03	2.56400424221225e-06,-1.48101199795568e-05
3.41000000000000e+03	2.52102591681659e-06,-1.47804384120982e-05
3.42000000000000e+03	2.47251461742532e-06,-1.47503899544484e-05
3.43000000000000e+03	2.42998282372441e-06,-1.47263138200473e-05
3.44000000000000e+03	2.38373979361810e-06,-1.46919633718166e-05
3.45000000000000e+03	2.34345886842186e-06,-1.46584555807919e-05
3.46000000000000e+03	2.29621202122390e-06,-1.46253494620113e-05
3.47000000000000e+03	2.25846580917203e-06,-1.45897726794097e-05
3.48000000000000e+03	2.22372825245494e-06,-1.45513526409817e-05
3.49000000000000e+03	2.18854470886680e-06,-1.45147227011425e-05
3.50000000000000e+03	2.15792191497220e-06,-1.44744960166528e-05
3.51000000000000e+03	2.12856680151107e-06,-1.44367780776511e-05
3.52000000000000e+03	2.10490452202970e-06,-1.43914321839647e-05
3.53000000000000e+03	2.08243772794835e-06,-1.43359359208386e-05
3.54000000000000e+03	2.07195370663736e-06,-1.43144290239634e-05
3.55000000000000e+03	2.06076561990539e-06,-1.42626730299209e-05
3.56000000000000e+03	2.04997201888699e-06,-1.42060162531581e-05
3.57000000000000e+03	2.06150353838789e-06,-1.41601222712070e-05
3.58000000000000e+03	2.08325489653888e-06,-1.41089656569357e-05
3.59000000000000e+03	2.05197154312108e-06,-1.40062244144869e-05
3.60000000000000e+03	2.11742627836151e-06,-1.39455510918131e-05
3.61000000000000e+03	2.18375071550562e-06,-1.38092168678638e-05
3.62000000000000e+03	2.28232921126985e-06,-1.38084353721026e-05
3.63000000000000e+03	2.44809165380215e-06,-1.36347485403891e-05
3.64000000000000e+03	2.55949416074664e-06,-1.36768609146003e-05
3.65000000000000e+03	3.43951553846196e-06,-1.28630876511353e-05
3.66000000000000e+03	6.23514025734743e-06,-1.08562059578004e-05
3.67000000000000e+03	-7.80878187225577e-06,-2.07890159560395e-05
3.68000000000000e+03	-7.85287067063525e-07,-1.58140553877186e-05
3.69000000000000e+03	3.47179862936775e-07,-1.51908012769741e-05
3.70000000000000e+03	4.41871501112187e-07,-1.46896024448138e-05
3.71000000000000e+03	6.99946247609233e-07,-1.45659341726680e-05
3.72000000000000e+03	8.62184923297209e-07,-1.43528554651664e-05
3.73000000000000e+03	9.14501688038214e-07,-1.44008782521311e-05
3.74000000000000e+03	9.66443211075241e-07,-1.43469461102824e-05
3.75000000000000e+03	1.00812614211511e-06,-1.43158581430841e-05
3.76000000000000e+03	1.02844278187476e-06,-1.42785138481496e-05
3.77000000000000e+03	1.05326453808673e-06,-1.42477033791650e-05
3.78000000000000e+03	1.03242986277436e-06,-1.42341872018211e-05
3.79000000000000e+03	1.03687905162236e-06,-1.42143333650840e-05
3.80000000000000e+03	1.03403737956993e-06,-1.41862812997674e-05
3.81000000000000e+03	1.02361120428971e-06,-1.41847314331147e-05
3.82000000000000e+03	1.00997041763331e-06,-1.41728313277621e-05
3.83000000000000e+03	9.99916055605260e-07,-1.41603852355435e-05
3.84000000000000e+03	9.78508025680916e-07,-1.41506583106694e-05
3.85000000000000e+03	9.55430088725189e-07,-1.41402268565709e-05
3.86000000000000e+03	9.36476401618394e-07,-1.41318590821170e-05
3.87000000000000e+03	9.10991202801577e-07,-1.41219070946196e-05
3.88000000000000e+03	8.83308843060124e-07,-1.41111183843364e-05
3.89000000000000e+03	8.56973780647944e-07,-1.41018858180690e-05
3.90000000000000e+03	8.28848263832552e-07,-1.40921849912526e-05
3.91000000000000e+03	7.94963567109566e-07,-1.40751152990773e-05
3.92000000000000e+03	7.66483773875715e-07,-1.40659069192978e-05
3.93000000000000e+03	7.38221122228722e-07,-1.40530436567143e-05
3.94000000000000e+03	6.99725621141469e-07,-1.40412940206143e-05
3.95000000000000e+03	6.68166086918242e-07,-1.40271473095818e-05
3.96000000000000e+03	6.31459913410913e-07,-1.40098263473120e-05
3.97000000000000e+03	6.01623299568242e-07,-1.39969316044170e-05
3.98000000000000e+03	5.67813037289750e-07,-1.39801270654917e-05
3.99000000000000e+03	5.32263664198553e-07,-1.39670694424930e-05
4.00000000000000e+03	4.98227800358610e-07,-1.39474995060468e-05
4.01000000000000e+03	4.64408999543887e-07,-1.39280196174927e-05
4.02000000000000e+03	4.26712484578535e-07,-1.39101985835962e-05
4.03000000000000e+03	3.91613561253081e-07,-1.38895356642176e-05
4.04000000000000e+03	3.54974918823189e-07,-1.38669916407921e-05
4.05000000000000e+03	3.20227356683313e-07,-1.38455710124306e-05
4.06000000000000e+03	2.85069316350091e-07,-1.38221988772932e-05
4.07000000000000e+03	2.43824747702559e-07,-1.37938272551666e-05
4.08000000000000e+03	2.09975046711104e-07,-1.37681055707868e-05
4.09000000000000e+03	1.72558511597620e-07,-1.37375626842128e-05
