time	V(a)	V(b)	V(vc)	V(vr)	V(vs)
1.110889995131694e-07	5.865170e+00	4.264937e+00	7.754177e-04	1.454325e+01	1.585295e-01
1.111430928852748e-07	5.865170e+00	4.264937e+00	7.755209e-04	1.454389e+01	1.585089e-01
1.112125675755182e-07	5.865170e+00	4.264937e+00	7.756535e-04	1.454471e+01	1.584825e-01
1.113004931564703e-07	5.865170e+00	4.264937e+00	7.758214e-04	1.454576e+01	1.584492e-01
1.114164666414320e-07	5.865170e+00	4.264937e+00	7.760428e-04	1.454712e+01	1.584053e-01
1.115659150448604e-07	5.865170e+00	4.264937e+00	7.763280e-04	1.454888e+01	1.583488e-01
1.117631451528918e-07	5.865170e+00	4.264937e+00	7.767046e-04	1.455118e+01	1.582745e-01
1.120368702815725e-07	5.865170e+00	4.264937e+00	7.772272e-04	1.455435e+01	1.581719e-01
1.124601670834450e-07	5.865170e+00	4.264937e+00	7.780356e-04	1.455918e+01	1.580141e-01
1.131653467808803e-07	5.865170e+00	4.264937e+00	7.793828e-04	1.456705e+01	1.577543e-01
1.144971197856756e-07	5.865170e+00	4.264937e+00	7.819287e-04	1.458138e+01	1.572721e-01
1.164967357592268e-07	5.865170e+00	4.264937e+00	7.857545e-04	1.460182e+01	1.565653e-01
1.185678748905571e-07	5.865170e+00	4.264937e+00	7.897220e-04	1.462162e+01	1.558555e-01
1.212601667188987e-07	5.865170e+00	4.264937e+00	7.948870e-04	1.464529e+01	1.549667e-01
1.246271723829583e-07	5.865170e+00	4.264937e+00	8.013588e-04	1.467191e+01	1.539048e-01
1.293515746967541e-07	5.865170e+00	4.264937e+00	8.104627e-04	1.470444e+01	1.524983e-01
1.355685263907538e-07	5.865170e+00	4.264937e+00	8.224746e-04	1.474123e+01	1.507537e-01
1.393384280775061e-07	5.865170e+00	4.264937e+00	8.297775e-04	1.476040e+01	1.497534e-01
1.424753180644169e-07	5.865170e+00	4.264937e+00	8.358672e-04	1.477439e+01	1.489582e-01
1.443209007726602e-07	5.865170e+00	4.264937e+00	8.394554e-04	1.478191e+01	1.485045e-01
1.461961552289044e-07	5.865170e+00	4.264937e+00	8.431048e-04	1.478907e+01	1.480534e-01
1.468321979986149e-07	5.865170e+00	4.264937e+00	8.443433e-04	1.479140e+01	1.479025e-01
1.475082170608126e-07	5.865170e+00	4.264937e+00	8.456603e-04	1.479379e+01	1.477439e-01
1.482252780300135e-07	5.865170e+00	4.264937e+00	8.470578e-04	1.479628e+01	1.475769e-01
1.489186568756808e-07	5.865170e+00	4.264937e+00	8.484098e-04	1.479861e+01	1.474168e-01
1.500592571263420e-07	5.865170e+00	4.264937e+00	8.506349e-04	1.480234e+01	1.471561e-01
1.512479360534939e-07	5.865170e+00	4.264937e+00	8.529554e-04	1.480607e+01	1.468878e-01
1.530219057284141e-07	5.865170e+00	4.264937e+00	8.564214e-04	1.481136e+01	1.464938e-01
1.549848766702999e-07	5.865170e+00	4.264937e+00	8.602610e-04	1.481684e+01	1.460669e-01
1.581532368210092e-07	5.865170e+00	4.264937e+00	8.664670e-04	1.482498e+01	1.453949e-01
1.611283965779216e-07	5.865170e+00	4.264937e+00	8.723059e-04	1.483182e+01	1.447848e-01
1.667652120418965e-07	5.865170e+00	4.264937e+00	8.833956e-04	1.484304e+01	1.436764e-01
1.724820003828449e-07	5.865170e+00	4.264937e+00	8.946821e-04	1.485234e+01	1.426159e-01
1.839155770647415e-07	5.865170e+00	4.264937e+00	9.173749e-04	1.486588e+01	1.406738e-01
2.027917655044943e-07	5.865170e+00	4.264937e+00	9.550998e-04	1.487989e+01	1.378438e-01
2.323440892829111e-07	5.865170e+00	4.264937e+00	1.014575e-03	1.489130e+01	1.340326e-01
