time	V(n001)	V(n003)
2.106071428771445e-03	-5.757143e+00	1.267545e+01
2.158957143057166e-03	-3.641714e+00	1.267545e+01
2.211842857342888e-03	-1.526286e+00	1.267545e+01
2.264728571628609e-03	5.891428e-01	1.267545e+01
2.317614285914330e-03	2.704571e+00	1.267545e+01
2.370500000200051e-03	4.820000e+00	1.267546e+01
2.371357143057194e-03	4.854286e+00	1.267545e+01
2.372214285914337e-03	4.888572e+00	1.267545e+01
2.373071428771480e-03	4.922857e+00	1.267546e+01
2.373928571628623e-03	4.957143e+00	1.267546e+01
2.374785714485766e-03	4.991429e+00	1.267546e+01
2.375642857342909e-03	5.025714e+00	1.267546e+01
2.376500000200052e-03	5.060000e+00	1.267546e+01
2.377500000200052e-03	5.100000e+00	1.267133e+01
2.378347297371847e-03	5.133892e+00	1.250104e+01
2.378776188884487e-03	5.151048e+00	1.205975e+01
2.379217910174983e-03	5.168716e+00	1.107335e+01
2.379681994810974e-03	5.187280e+00	9.395622e+00
2.380544376969516e-03	5.221775e+00	4.858004e+00
2.381497086228339e-03	5.259883e+00	-1.577485e+00
2.382382310503698e-03	5.295292e+00	-8.158052e+00
2.382879596509685e-03	5.315184e+00	-1.148590e+01
2.383183586765900e-03	5.327343e+00	-1.288598e+01
2.383291113524586e-03	5.331645e+00	-1.307672e+01
2.383358813757918e-03	5.334352e+00	-1.309016e+01
2.383440710658751e-03	5.337628e+00	-1.309853e+01
2.383553446683040e-03	5.342138e+00	-1.310518e+01
2.383814402021465e-03	5.352576e+00	-1.311175e+01
2.499000000200004e-03	9.960000e+00	-1.311523e+01
2.500000000200004e-03	1.000000e+01	-1.311609e+01
2.500000000210004e-03	1.000000e+01	-1.311609e+01
2.500000000294861e-03	1.000000e+01	-1.311609e+01
2.500000000379718e-03	1.000000e+01	-1.311609e+01
2.500000000464575e-03	1.000000e+01	-1.311609e+01
2.500000000549433e-03	1.000000e+01	-1.311609e+01
2.500000000634290e-03	1.000000e+01	-1.311609e+01
2.500000000719147e-03	1.000000e+01	-1.311609e+01
2.500000000804004e-03	1.000000e+01	-1.311609e+01
2.500000150527237e-03	9.999994e+00	-1.311600e+01
2.500000300250470e-03	9.999988e+00	-1.311592e+01
2.500000449973703e-03	9.999982e+00	-1.311584e+01
2.500000599696936e-03	9.999976e+00	-1.311578e+01
2.500000749420169e-03	9.999970e+00	-1.311572e+01
2.500000899143403e-03	9.999964e+00	-1.311567e+01
2.500001048866636e-03	9.999958e+00	-1.311564e+01
2.500002097441267e-03	9.999916e+00	-1.311544e+01
2.500004194590530e-03	9.999832e+00	-1.311528e+01
2.500008388889057e-03	9.999664e+00	-1.311522e+01
2.500016777486109e-03	9.999329e+00	-1.311522e+01
2.874073740714779e-03	-4.962950e+00	-1.311521e+01
2.877073740714780e-03	-5.082950e+00	-1.310354e+01
2.878073740714780e-03	-5.122950e+00	-1.307068e+01
2.878727603479371e-03	-5.149104e+00	-1.298330e+01
2.879106669170894e-03	-5.164267e+00	-1.274957e+01
2.879382606114403e-03	-5.175304e+00	-1.229252e+01
2.879647823565585e-03	-5.185913e+00	-1.149359e+01
2.880090909263916e-03	-5.203636e+00	-9.492362e+00
2.880693623103295e-03	-5.227745e+00	-5.735343e+00
2.881404167875620e-03	-5.256167e+00	1.334805e-02
2.882404167875620e-03	-5.296167e+00	9.135128e+00
2.882796142024451e-03	-5.311846e+00	1.249460e+01
2.882810137753256e-03	-5.312406e+00	1.257296e+01
2.882838129210865e-03	-5.313525e+00	1.263634e+01
2.882886645585001e-03	-5.315466e+00	1.267163e+01
2.882930071313634e-03	-5.317203e+00	1.267579e+01
2.882977082850861e-03	-5.319083e+00	1.267545e+01
2.883635244372052e-03	-5.345410e+00	1.267545e+01
2.999000000300004e-03	-9.960000e+00	1.267545e+01
3.000000000300004e-03	-1.000000e+01	1.267545e+01
3.000100000300004e-03	-9.996000e+00	1.267545e+01
3.000300000300004e-03	-9.988000e+00	1.267545e+01
3.053185714585725e-03	-7.872571e+00	1.267545e+01
3.106071428871446e-03	-5.757143e+00	1.267545e+01
3.158957143157168e-03	-3.641714e+00	1.267545e+01
3.211842857442889e-03	-1.526286e+00	1.267545e+01
3.264728571728610e-03	5.891428e-01	1.267545e+01
3.317614286014332e-03	2.704571e+00	1.267545e+01
3.370500000300053e-03	4.820000e+00	1.267546e+01
3.371357143157196e-03	4.854286e+00	1.267545e+01
3.372214286014339e-03	4.888572e+00	1.267545e+01
3.373071428871482e-03	4.922857e+00	1.267546e+01
3.373928571728625e-03	4.957143e+00	1.267546e+01
3.374785714585768e-03	4.991429e+00	1.267546e+01
3.375642857442910e-03	5.025714e+00	1.267546e+01
3.376500000300054e-03	5.060000e+00	1.267546e+01
3.377500000300054e-03	5.100000e+00	1.267133e+01
3.378347297471842e-03	5.133892e+00	1.250104e+01
3.378776188984481e-03	5.151048e+00	1.205975e+01
3.379217910274974e-03	5.168716e+00	1.107335e+01
3.379681994910966e-03	5.187280e+00	9.395622e+00
3.380544377069532e-03	5.221775e+00	4.858004e+00
3.381497086328340e-03	5.259883e+00	-1.577485e+00
3.382382310603694e-03	5.295292e+00	-8.158052e+00
3.382879596609683e-03	5.315184e+00	-1.148590e+01
3.383183586865898e-03	5.327343e+00	-1.288598e+01
3.383291113624584e-03	5.331645e+00	-1.307672e+01
3.383358813857916e-03	5.334352e+00	-1.309016e+01
3.383440710758749e-03	5.337628e+00	-1.309853e+01
3.383553446783039e-03	5.342138e+00	-1.310518e+01
3.383814402121462e-03	5.352576e+00	-1.311175e+01
3.499000000300006e-03	9.960000e+00	-1.311523e+01
3.500000000300006e-03	1.000000e+01	-1.311609e+01
3.500000000310006e-03	1.000000e+01	-1.311609e+01
3.500000000394863e-03	1.000000e+01	-1.311609e+01
3.500000000479720e-03	1.000000e+01	-1.311609e+01
3.500000000564577e-03	1.000000e+01	-1.311609e+01
3.500000000649435e-03	1.000000e+01	-1.311609e+01
3.500000000734292e-03	1.000000e+01	-1.311609e+01
3.500000000819149e-03	1.000000e+01	-1.311609e+01
3.500000000904006e-03	1.000000e+01	-1.311609e+01
3.500000150627239e-03	9.999994e+00	-1.311600e+01
3.500000300350472e-03	9.999988e+00	-1.311592e+01
3.500000450073705e-03	9.999982e+00	-1.311584e+01
3.500000599796938e-03	9.999976e+00	-1.311578e+01
3.500000749520171e-03	9.999970e+00	-1.311572e+01
3.500000899243405e-03	9.999964e+00	-1.311567e+01
3.500001048966638e-03	9.999958e+00	-1.311564e+01
3.500002097541269e-03	9.999916e+00	-1.311544e+01
3.500004194690532e-03	9.999832e+00	-1.311528e+01
3.500008388989059e-03	9.999664e+00	-1.311522e+01
3.500016777586111e-03	9.999329e+00	-1.311522e+01
3.861073740814780e-03	-4.442950e+00	-1.311522e+01
