v1	V(n003)
7.230000000000143e+000	-1.311215e+001
7.200000000000142e+000	-1.311215e+001
7.170000000000142e+000	-1.311215e+001
7.140000000000142e+000	-1.311215e+001
7.110000000000142e+000	-1.311215e+001
7.080000000000141e+000	-1.311215e+001
7.050000000000141e+000	-1.311215e+001
7.020000000000141e+000	-1.311215e+001
6.990000000000141e+000	-1.311215e+001
6.960000000000140e+000	-1.311215e+001
6.930000000000140e+000	-1.311215e+001
6.900000000000140e+000	-1.311215e+001
6.870000000000140e+000	-1.311215e+001
6.840000000000139e+000	-1.311215e+001
6.810000000000139e+000	-1.311215e+001
6.780000000000139e+000	-1.311215e+001
6.750000000000139e+000	-1.311215e+001
6.720000000000138e+000	-1.311215e+001
6.690000000000138e+000	-1.311215e+001
6.660000000000138e+000	-1.311215e+001
6.630000000000138e+000	-1.311215e+001
6.600000000000137e+000	-1.311215e+001
6.570000000000137e+000	-1.311215e+001
6.540000000000137e+000	-1.311215e+001
6.510000000000137e+000	-1.311215e+001
6.480000000000136e+000	-1.311215e+001
6.450000000000136e+000	-1.311215e+001
6.420000000000136e+000	-1.311215e+001
6.390000000000136e+000	-1.311215e+001
6.360000000000135e+000	-1.311215e+001
6.330000000000135e+000	-1.311215e+001
6.300000000000135e+000	-1.311215e+001
6.270000000000135e+000	-1.311215e+001
6.240000000000134e+000	-1.311215e+001
6.210000000000134e+000	-1.311215e+001
6.180000000000134e+000	-1.311215e+001
6.150000000000134e+000	-1.311215e+001
6.120000000000133e+000	-1.311215e+001
6.090000000000133e+000	-1.311215e+001
6.060000000000133e+000	-1.311215e+001
6.030000000000133e+000	-1.311215e+001
6.000000000000132e+000	-1.311215e+001
5.970000000000132e+000	-1.311215e+001
5.940000000000132e+000	-1.311215e+001
5.910000000000132e+000	-1.311215e+001
5.880000000000131e+000	-1.311215e+001
5.850000000000131e+000	-1.311215e+001
5.820000000000131e+000	-1.311215e+001
5.790000000000131e+000	-1.311215e+001
5.760000000000130e+000	-1.311215e+001
5.730000000000130e+000	-1.311215e+001
5.700000000000130e+000	-1.311215e+001
5.670000000000130e+000	-1.311215e+001
5.640000000000129e+000	-1.311215e+001
5.610000000000129e+000	-1.311215e+001
5.580000000000129e+000	-1.311215e+001
5.550000000000129e+000	-1.311215e+001
5.520000000000128e+000	-1.311215e+001
5.490000000000128e+000	-1.311215e+001
5.460000000000128e+000	-1.311215e+001
5.430000000000128e+000	-1.311215e+001
5.400000000000127e+000	-1.311215e+001
5.370000000000127e+000	-1.311215e+001
5.340000000000127e+000	-1.311215e+001
5.310000000000127e+000	-1.311215e+001
5.280000000000126e+000	-1.311215e+001
5.250000000000126e+000	-1.311215e+001
5.220000000000126e+000	-1.311215e+001
5.190000000000126e+000	-1.311215e+001
5.160000000000125e+000	-1.311215e+001
5.130000000000125e+000	-1.311215e+001
5.100000000000125e+000	-1.311215e+001
5.070000000000125e+000	-1.311215e+001
5.040000000000124e+000	-1.311215e+001
5.010000000000124e+000	-1.311215e+001
4.980000000000124e+000	-1.311215e+001
4.950000000000124e+000	-1.311215e+001
4.920000000000123e+000	-1.311215e+001
4.890000000000123e+000	-1.311215e+001
4.860000000000123e+000	-1.311215e+001
4.830000000000123e+000	-1.311215e+001
4.800000000000122e+000	-1.311215e+001
4.770000000000122e+000	-1.311215e+001
4.740000000000122e+000	-1.311215e+001
4.710000000000122e+000	-1.311215e+001
4.680000000000121e+000	-1.311215e+001
4.650000000000121e+000	-1.311215e+001
4.620000000000121e+000	-1.311215e+001
4.590000000000121e+000	-1.311215e+001
4.560000000000120e+000	-1.311215e+001
4.530000000000120e+000	-1.311215e+001
4.500000000000120e+000	-1.311215e+001
4.470000000000120e+000	-1.311215e+001
4.440000000000119e+000	-1.311215e+001
4.410000000000119e+000	-1.311215e+001
4.380000000000119e+000	-1.311215e+001
4.350000000000119e+000	-1.311215e+001
4.320000000000118e+000	-1.311215e+001
4.290000000000118e+000	-1.311215e+001
4.260000000000118e+000	-1.311215e+001
4.230000000000118e+000	-1.311215e+001
